TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    33      10   1.41443982e-05   2.12411198e-03  
    33      11   6.89572031e-06   4.08156819e-03  
    33      12   3.38992743e-06   4.45035833e-04  
    33      13   1.70072500e-06   2.90753596e-04  
    33      14   8.76574032e-07   1.42694284e-04  
    34       1   4.58658742e-02   9.95312327e-01  
    34       2   5.85127581e-03   4.94716451e-02  
    34       3   2.48382663e-04   6.10046068e-01  
    34       4   2.86295908e-04   5.65558257e-01  
    34       5   2.51113260e-04   3.94651827e-01  
    34       6   2.17950845e-04   2.63686903e-01  
    34       7   1.53714202e-04   1.39282259e-01  
    34       8   9.07860474e-05   6.18966436e-02  
    34       9   5.50956073e-05   2.57270753e-02  
    34      10   2.80093972e-05   1.35146562e-02  
    34      11   1.62217030e-05   4.64308883e-03  
    34      12   6.97436147e-06   7.72589951e-04  
    34      13   3.63709144e-06   3.89901714e-04  
    34      14   1.83226087e-06   2.96174933e-04  
    34      15   9.96765176e-07   1.86268038e-04  
    35       1   4.44095935e-02   9.95312073e-01  
    35       2   6.02294727e-03   1.55492558e-01  
    35       3   6.94020225e-04   4.18753689e-01  
    35       4   5.68786082e-04   1.89827674e-01  
    35       5   2.76158403e-04   1.28344335e-01  
    35       6   1.49288609e-04   5.61987964e-02  
    35       7   8.90569729e-05   3.89017815e-02  
    35       8   4.76924513e-05   1.20809464e-02  
    35       9   2.43990141e-05   3.51351122e-03  
    35      10   1.48945167e-05   2.68944654e-03  
    35      11   7.79662643e-06   2.39679270e-04  
